"","case_number","to_pay","paid","balance"
"283","19-006802-co"," 221.26"," 221.26","0.00"
"284","19-006811-co"," 195.00"," 195.00","0.00"
"285","19-006812-co"," 205.00"," 205.00","0.00"
"286","19-006813-co"," 205.00"," 205.00","0.00"
"287","19-006814-co"," 205.00"," 205.00","0.00"
"288","19-006815-co"," 195.00"," 195.00","0.00"
"289","19-006816-co"," 195.00"," 195.00","0.00"
"290","19-006817-co"," 199.49"," 199.49","0.00"
"291","19-006818-co"," 195.00"," 195.00","0.00"
"292","19-006819-co"," 195.00"," 195.00","0.00"
"293","19-006820-co"," 195.00"," 195.00","0.00"
"294","19-006821-co"," 199.70"," 199.70","0.00"
"295","19-006822-co"," 195.00"," 195.00","0.00"
"296","19-006826-co"," 185.00"," 185.00","0.00"
"297","19-006827-co"," 195.00"," 195.00","0.00"
"298","19-006829-co"," 197.07"," 197.07","0.00"
"299","19-006830-co"," 195.00"," 195.00","0.00"
"300","19-006831-co"," 208.50"," 208.50","0.00"
"301","19-006832-co"," 195.00"," 195.00","0.00"
"302","19-006839-co"," 195.00"," 195.00","0.00"
"303","19-006840-co"," 195.00"," 195.00","0.00"
"304","19-006841-co"," 195.00"," 195.00","0.00"
"305","19-006842-co"," 195.00"," 195.00","0.00"
"306","19-006843-co"," 195.00"," 195.00","0.00"
"307","19-006844-co"," 195.00"," 195.00","0.00"
"308","19-006845-co"," 195.00"," 195.00","0.00"
"309","19-006846-co"," 195.00"," 195.00","0.00"
"310","19-006847-co"," 205.00"," 205.00","0.00"
"311","19-006848-co"," 195.00"," 195.00","0.00"
"312","19-006784-co"," 185.00"," 185.00","0.00"
"313","19-006787-co"," 195.00"," 195.00","0.00"
"314","19-006723-co"," 205.00"," 205.00","0.00"
"315","19-006732-co"," 0.30"," 0.30","0.00"
"316","19-006734-co"," 195.00"," 195.00","0.00"
"317","19-006737-co"," 205.00"," 205.00","0.00"
"318","19-006738-co"," 205.00"," 205.00","0.00"
"319","19-006739-co"," 195.69"," 195.69","0.00"
"320","19-006741-co"," 225.00"," 225.00","0.00"
"321","19-006744-co"," 196.50"," 196.50","0.00"
"322","19-006746-co"," 310.00"," 310.00","0.00"
"323","19-006747-co"," 205.00"," 205.00","0.00"
"324","19-006749-co"," 205.00"," 205.00","0.00"
"325","19-006751-co"," 195.00"," 195.00","0.00"
"326","19-006752-co"," 195.00"," 195.00","0.00"
"327","19-006753-co"," 195.00"," 195.00","0.00"
"328","19-006757-co"," 208.50"," 208.50","0.00"
"329","19-006759-co"," 0.30"," 0.30","0.00"
"330","19-006760-co"," 0.90"," 0.90","0.00"
"331","19-006762-co"," 213.72"," 213.72","0.00"
"332","19-006764-co"," 195.00"," 195.00","0.00"
"333","19-006765-co"," 195.00"," 195.00","0.00"
"334","19-006766-co"," 0.15"," 0.15","0.00"
"335","19-006768-co"," 195.00"," 195.00","0.00"
"336","19-006778-co"," 210.18"," 210.18","0.00"
"337","19-006779-co"," 215.00"," 215.00","0.00"
"338","19-006780-co"," 215.00"," 215.00","0.00"
"339","19-006782-co"," 195.00"," 195.00","0.00"
"340","19-006783-co"," 195.00"," 195.00","0.00"
"341","19-006678-co"," 214.20"," 214.20","0.00"
"342","19-006679-co"," 195.00"," 195.00","0.00"
"343","19-006683-co"," 0.15"," 0.15","0.00"
"344","19-006684-co"," 198.50"," 198.50","0.00"
"345","19-006685-co"," 195.00"," 195.00","0.00"
"346","19-006686-co"," 195.00"," 195.00","0.00"
"347","19-006687-co"," 198.09"," 198.09","0.00"
"348","19-006688-co"," 225.50"," 225.50","0.00"
"349","19-006693-co"," 195.00"," 195.00","0.00"
"350","19-006694-co"," 195.00"," 195.00","0.00"
"351","19-006696-co"," 195.69"," 195.69","0.00"
"352","19-006697-co"," 317.79"," 317.79","0.00"
"353","19-006698-co"," 195.00"," 195.00","0.00"
"354","19-006700-co"," 0.30"," 0.30","0.00"
"355","19-006705-co"," 205.00"," 205.00","0.00"
"356","19-006706-co"," 205.00"," 205.00","0.00"
"357","19-006707-co"," 195.00"," 195.00","0.00"
"358","19-006708-co"," 205.00"," 205.00","0.00"
"359","19-006709-co"," 195.00"," 195.00","0.00"
"360","19-006711-co"," 205.00"," 205.00","0.00"
"361","19-006713-co"," 215.00"," 215.00","0.00"
"362","19-006714-co"," 205.00"," 205.00","0.00"
"363","19-006717-co"," 205.00"," 205.00","0.00"
"364","19-006718-co"," 195.00"," 195.00","0.00"
"365","19-006719-co"," 0.90"," 0.90","0.00"
"366","19-006639-co"," 205.00"," 205.00","0.00"
"367","19-006642-co"," 205.00"," 205.00","0.00"
"368","19-006643-co"," 195.00"," 195.00","0.00"
"369","19-006646-co"," 202.94"," 202.94","0.00"
